"IC_Species","Species_Name_full","Species_Name"
"ANK","Black-bellied Anglerfish","Black-bellied Anglerfish"
"WHB","Blue Whiting","Blue Whiting"
"BOC","Boarfish","Boarfish"
"COD","Cod","Cod"
"HAD","Haddock","Haddock"
"HKE","Hake","Hake"
"HER","Herring","Herring"
"HOM","Horse Mackerel","Horse Mackerel"
"LIN","Ling","Ling"
"MAC","Mackerel","Mackerel"
"MEG","Megrim","Megrim"
"PLE","Plaice","Plaice"
"POL","Pollack","Pollack"
"POK","Saithe","Saithe"
"SOL","Sole","Sole"
"SPR","Sprat","Sprat"
"MON","White-bellied Anglerfish","White-bellied Anglerfish"
"WHG","Whiting","Whiting"
